entrezgene;avg(weighted);max
54623;0.076696453213128;0.08177645933542303
90273;0.494862161913976;0.7186366592394067
1087;0.120469858096208;0.12981801111121394
7812;0.0647660163247342;0.1941221076841164
10048;0.046798466592992;0.048953103970309816
8798;0.313431901886514;0.43904487340951004
2137;0.0356802349852361;0.035680234985236134
57658;0.156366831842927;0.20953938216691198
23376;1.86840441751985;2.820380285633772
1355;0.113909223709581;0.11711532813090962
1244;0.075939482473054;0.07807688542060641
8630;0.348829417594052;1.4273217045242579
3645;0.137555357009535;0.21360770249232366
9047;0.180791020630887;0.27718722268167756
55591;0.118692580315761;0.11869258031576169
5926;0.838947269098495;1.210871522041077
57102;0.561023032759479;1.1329760084362124
50484;0.107353047053139;0.10735304705313921
51528;0.297292469596526;0.30951284208031377
80143;0.0897978753622771;0.29118316152617457
55745;0.174229115795246;0.30951284208031377
1975;0.0414783311697436;0.08423225627996601
55588;0.076696453213128;0.08177645933542303
8621;0.564368292947458;0.6812891193201337
60487;0.41501733887982;0.5365626443598556
10640;0.174229115795246;0.30951284208031377
6694;0.511369526651719;1.3094886568855535
10335;3.36572701623382;5.149522544145528
59277;0.593462901578808;0.5934629015788085
5939;0.678826627951468;1.1606728693790211
11176;0.101726464628999;0.8437905709959158
8527;0.12007098601702;0.30693721344484604
6626;0.283685952582052;0.3402576190545044
56915;1.08803089353124;1.4247560087949138
9063;0.234843088200979;0.5240230651752563
57103;0.524119933872323;0.9440317726321911
1906;0.050038537497679;0.05003853749767908
7161;0.0297946598434436;0.10823621526296003
6561;0.0365579272429358;0.03655792724293589
25978;0.0365764716505973;0.036576471650597374
3034;0.0791283868771744;0.07912838687717447
55230;0.234103204291933;0.900273451608818
4680;0.0827955860683306;0.12659971421381971
2778;0.182024683468461;0.1820246834684616
116154;0.0728098733873846;0.07280987338738464
55862;0.225866122100821;0.3066072253484889
8086;0.523803273900501;0.628618146500736
55357;0.142266448028938;0.14226644802893826
83795;0.396131029634223;0.4549000123101086
8829;0.364889998851904;0.36488999885190415
5684;0.426837058300909;0.664026318538655
26520;0.337425747238253;0.5669596501474767
9786;0.770499716286688;0.9672276315009807
23002;0.227052002455072;0.30951284208031377
51635;0.0743231173991316;0.07737821052007844
5494;0.26013091089696;0.27082373682027455
51497;0.655288860486461;0.6552888604864618
1522;0.218429620162153;0.21842962016215392
81027;0.400454303630615;0.4004543036306155
51012;0.619987103692578;0.6199871036925783
55756;0.214081409911416;0.2140814099114168
2138;0.678766682137615;0.6843360638908198
51366;0.322059141159417;0.32205914115941764
23484;1.21312798949802;1.2131279894980287
10671;0.963366344601375;0.9633663446013756
11100;0.321252954923221;0.34618136296323715
7040;0.552855221698871;1.446094880981644
55101;2.20540373217784;2.56353183446746
1089;0.562233032567646;0.6950999043510958
1048;0.120469858096208;0.12981801111121394
10567;0.243316496565956;0.34618136296323715
8976;0.804274399344589;0.8042743993445896
23553;0.402137199672294;0.4021371996722948
6677;0.182789636214679;0.18278963621467945
9830;0.0355666120072345;0.035566612007234565
7464;0.106699836021703;0.10669983602170369
3257;0.0386802231263967;0.08364114949422712
59338;1.65718785735941;1.833125767885772
23232;0.387196794190957;0.4336439503930417
1562;0.0796724961080253;0.10841098759826043
50862;1.50773792135348;1.8549247868453447
1982;0.423929918193005;0.6426343750244821
506;0.0523717599161755;0.18546309843311082
10728;0.112428261916277;0.2112572615962929
3875;0.0124787178708438;0.04211612813998301
23371;0.07748597178435;0.12634838441994903
2735;0.277869921761227;0.4721154014960641
10988;0.71215548189457;0.7121554818945702
4048;0.0395641934385872;0.039564193438587233
2251;0.40298387385409;0.5644862658122273
10635;0.461950941489532;0.7930832059053486
10566;0.233319517913456;0.35870434379166616
8914;0.0352095435993821;0.03520954359938215
51020;0.384542393366174;0.4301520996300548
7164;0.375897648039193;0.3910473633000498
135114;0.48296287276509;0.6515403538655389
135112;1.03509505025655;1.3686657715501744
221692;0.926462265912654;1.548488264538975
2740;0.334161313793538;0.3980375107713451
55776;0.394119344930034;0.4549000123101086
9457;2.5394784964037;5.181626772608589
81491;0.221397751880466;0.8126382256858367
3156;0.594593827089769;0.9382219000261723
10087;0.381492298957268;1.1785525516503557
80303;0.191965841456085;0.196448589976237
49856;0.0297946598434436;0.10823621526296003
9181;0.0287294830277103;0.07287020250427818
28956;0.124213559206436;0.7046602328587966
4209;2.61721951315218;3.8668268118813374
270;0.0349755360497541;0.0970610538420582
81847;0.144893270535678;0.27373315431003487
845;0.492248484641503;0.8472858112804391
894;0.313431901886514;0.43904487340951004
8074;0.40298387385409;0.5644862658122273
22954;0.870260592302457;1.1846226985824073
79695;0.177833060036172;0.1778330600361728
159296;0.26578818865569;0.2732690989721224
51076;0.133428445064733;0.15615377084121282
84795;0.0191268766497638;0.04182057474711356
26507;0.450684382690689;0.5477211810566783
