entrezgene;avg(weighted);max(weighted)
55727;0.21846415756757;0.2205843399219898
55148;0.291285543423426;0.2941124532293198
23376;1.65454267078612;2.7370519886703653
51177;0.072114852422471;0.07211485242247107
8630;0.185879485995069;0.6822857970594305
3645;0.107499413776841;0.1079570590605199
9047;0.143332551702455;0.14394274541402652
999;0.372273524289767;0.5414925305203183
6307;0.64167244983685;0.6674052853328418
1001;0.79232883484466;0.7941890447631335
8621;0.44957086665612;0.5413819436682232
9950;0.109232078783785;0.1102921699609949
6694;0.278903476436784;0.3099841968929091
4775;0.0360149470383937;0.03609950203468788
5939;0.692144556906087;0.7890007195797908
11176;0.0612316001430874;0.14225981755047562
7161;0.0578210727319803;0.14856073499297692
79670;0.142305619012253;0.2427659413695118
4528;0.141417247433343;0.14141724743334336
55230;0.119002203184146;0.13285037009696107
5641;0.0728213858558566;0.07352811330732995
1113;0.327696236351354;0.3308765098829848
3705;0.713700724790408;0.7352811330732993
3038;0.144398008138752;0.28879601627750306
79613;0.228291959567847;0.39709452238156673
55512;0.432179364460723;0.4331940244162546
84138;0.30011363193622;0.324895518312191
9057;0.66024038067992;0.682366037363639
23659;0.144059788153575;0.14439800813875153
80004;0.144059788153575;0.14439800813875153
11275;0.58220567092601;0.6413471230987005
1363;0.566171992848542;0.5981412855156414
796;0.334031893881496;0.46372591679156
506;0.0115935300249586;0.07005015134052943
10728;0.0714437731868133;0.14010030268105886
2735;0.218464068387945;0.26300023985993026
221692;0.697582984207672;1.1120245897043164
9457;2.24552974706478;4.77191157840334
81491;0.195188928023575;0.7200579484163273
4691;0.0606488144076305;0.11127002024754272
57142;0.0353543118583358;0.03535431185833584
55704;0.494960366016701;0.49496036601670174
2202;0.106062935575007;0.10606293557500751
80303;0.0816056012638325;0.08856691339797404
49856;0.0578210727319803;0.14856073499297692
28956;0.0358331379256138;0.03598568635350663
4209;1.64073238276192;1.7591611852361217
9129;0.216344557267413;0.21634455726741317
51107;0.180287131056177;0.18028713105617764
79630;1.12652140678132;1.1265214067813283
23632;0.39663168832359;0.3966316883235908
22954;0.57480056161205;0.933319585790974
64333;0.171048807467262;0.21010130084185433
4035;1.30369072949024;1.6457439251841093
25895;0.211860896685152;0.4203009080431766
55355;0.362235579994097;0.43285368539789026
29078;0.246647566767708;1.0917451737595
23408;0.0943483825473265;0.20179195743446218
1315;0.292394573829994;0.6213036226354786
5682;0.0899127364438606;0.2597615016533598
27237;0.259002061738544;0.3631213420059472
54496;0.180074735191969;0.1804975101734394
27183;0.179570009832536;0.1795700098325366
54453;0.228674836537349;0.27380255739851583
57127;0.268672260228157;0.2854447159817677
10763;0.214998827553682;0.2159141181210398
63827;0.250831965479296;0.2518998044745464
57111;0.0358331379256138;0.03598568635350663
60484;0.466135889888765;0.5397852953025994
254428;0.218774335879054;0.2187743358790547
22800;0.0368435556800393;0.03790470154910896
57578;0.21846415756757;0.2205843399219898
29979;0.33735517095682;0.6473758436520315
60560;0.251028392736275;0.3747833369727117
23287;0.254053330986454;0.36414891205426775
