entrezgene;avg(weighted);max(weighted)
7748;0.551113365660988;0.6840117328528521
7812;0.0818913382729814;0.17157950935843222
10048;0.057998338636396;0.05842493633058238
8798;0.618235935049681;0.6659619339268937
23376;2.74492443257955;5.478061160786666
114879;0.959469383363431;1.0164822324941103
8630;0.440585546544934;1.8058138431066662
3645;0.150210626006803;0.19591541823390435
9047;0.196210153548881;0.2612205576452058
57102;1.25904331363335;1.9027483826482676
3604;0.235335233201619;0.6891746754110042
80143;0.112164998665521;0.2573692640376483
8621;0.764304621375584;0.9399511095134049
6694;0.495264808807425;0.6092134357397007
10335;3.02364660476234;3.9063700901050287
2023;0.693249182853507;0.7518269186301862
5939;1.00062294036052;1.6376478437257291
11176;0.120268364766906;1.1020539245270886
57103;1.21833411379335;1.5221987061186142
1906;0.0798657129780087;0.0798657129780087
7161;0.043152760274865;0.17677524354469518
22999;0.753737867530365;0.7537378675303659
55230;0.186310377073963;0.27417066168696874
8395;0.210885983090055;0.6527651748951762
320;0.0636742571790096;0.06367425717900964
50862;1.26159706029233;1.3855583039727637
1982;0.353244999335622;0.3730349279926671
833;0.356040280517639;0.39900684416416377
5002;0.206536411939951;0.5130087996396392
796;0.53087339599783;0.7330665859144635
506;0.0609157932958843;0.20000841490297983
10728;0.144331684961778;0.2500105186287248
2735;0.387225613132064;0.5642485124144266
2251;0.794874773635304;0.8562367721917206
10635;0.940905603000105;1.3319238678537875
10566;0.441597096464058;0.4756870956620669
221692;1.39130817866367;2.689391290578556
9457;3.75362568234653;9.834422846743003
81491;0.354546718967003;1.5491321570154526
80303;0.131910812104096;0.1638622531126071
23341;0.195655112252816;0.19679727539420575
49856;0.043152760274865;0.17677524354469518
54206;0.446103139301275;0.6265224321918218
11315;0.145838266940497;0.25735290491018864
9181;0.0228806491893951;0.06726745014279287
28956;0.11228589001004;0.6379328166460368
4209;2.74660026758531;3.4167305231887886
270;0.0321271491654226;0.10050051481694296
79814;0.146741334189611;0.1475979565456543
23207;0.048913778063204;0.049199318848551436
845;0.622286658350715;0.772107792112945
894;0.618235935049681;0.6659619339268937
8074;0.794874773635304;0.8562367721917206
9414;2.5055611198364;4.115514107346409
22954;1.02852417290023;1.618157968572991
79627;0.050249191168691;0.05024919116869106
3624;0.527427776126367;0.5498386854869551
64333;0.36024992358034;0.5567429384567637
4035;2.03090744904869;4.273986194213539
25895;0.466399096235018;1.0498536236051006
55355;0.579295927689517;0.7447972117819427
29078;0.487318178381029;2.323356737275086
23408;0.246325629419513;0.46710480310048613
1315;0.520059239545188;0.9818914252062546
5682;0.169619088849501;0.3631116488991464
417;0.114890550198206;0.11958614499930707
57053;0.0574452750991031;0.059793072499653536
1028;0.18943611861863;0.34200586642642605
26290;0.353277677171246;0.38054967652965355
27237;0.549531526340653;0.8838762177234759
765;0.151017712756889;0.25060897287672873
57127;0.48733986932137;0.8931059433044514
10763;0.364386473879285;0.4465529716522257
63827;0.461896732894242;0.7917968057143467
57111;0.0923601115564173;0.13453490028558573
60484;0.893495374796685;1.0762792022846859
842;0.195655112252816;0.19679727539420575
10894;0.454172142002944;0.479616335990572
272;0.756953570004908;0.7993605599842866
81846;0.151390714000982;0.1598721119968573
22800;0.0559547353736413;0.056258598453900674
10100;0.471406240954292;0.954754890760958
7252;0.394636418127269;0.6863180374337289
4803;0.393051662838703;0.5147385280752966
