entrezgene;avg(weighted);max(weighted)
7812;0.11929235561843;0.1941221076841164
10048;0.0489531039703098;0.048953103970309816
8798;0.40685370238703;0.43904487340951004
23376;1.87087766967789;2.820380285633772
8630;0.36135204799767;1.4273217045242579
3645;0.169828044430706;0.21360770249232366
9047;0.224498020861224;0.27718722268167756
57102;0.895225473943807;1.1329760084362124
80143;0.179618845677825;0.29118316152617457
8621;0.577504894150572;0.6812891193201337
6694;0.605210627535251;1.3094886568855535
10335;3.64672756289599;5.149522544145528
5939;0.884345683667039;1.1606728693790211
11176;0.0951135622362197;0.8437905709959158
8527;0.0532757446062156;0.05327574460621568
57103;0.850648279772743;0.9440317726321911
1906;0.050038537497679;0.05003853749767908
7161;0.0265874941186892;0.10823621526296003
55230;0.261953010440225;0.900273451608818
83795;0.436665462901895;0.4549000123101086
23232;0.393397609709994;0.4336439503930417
1562;0.0854300605697512;0.10841098759826043
50862;1.60526333158503;1.8549247868453447
1982;0.460921140147707;0.6426343750244821
506;0.0415343548015047;0.11807304423358973
10728;0.106263145858994;0.20217015978781921
2735;0.323867484481257;0.4721154014960641
2251;0.523097617354753;0.5644862658122273
10635;0.557751871943408;0.7930832059053486
10566;0.290609787419307;0.31360348100679286
221692;1.02634821590209;1.548488264538975
2740;0.394284741010847;0.3980375107713451
55776;0.450611132583828;0.4549000123101086
9457;2.54268026980912;5.181626772608589
81491;0.221191567199526;0.8126382256858367
3156;0.680251302759615;0.6802513027596155
10087;0.631661923991071;0.6316619239910716
80303;0.191965841456085;0.196448589976237
49856;0.0265874941186892;0.10823621526296003
9181;0.0325609965556876;0.07287020250427818
28956;0.154836476646201;0.7046602328587966
4209;3.26513941569507;3.8668268118813374
270;0.0596461778092154;0.0970610538420582
845;0.518311643050291;0.8472858112804391
894;0.40685370238703;0.43904487340951004
8074;0.523097617354753;0.5644862658122273
22954;0.699642434023736;0.764486893162622
3070;0.977649756317452;1.029904382183474
51426;0.631661923991071;0.6316619239910716
