entrezgene;avg(weighted_scores);max_weighted_v2g
6778;4.70760450816609;10.2463195340224
9457;3.23617281636824;9.834422846743
23376;2.3353991411774;5.47806116078666
121214;2.30670852088355;4.48768550392421
4035;1.54259433647965;4.27398619421353
9414;2.41439782142579;4.1155141073464
10335;2.7270995613292;3.90637009010502
23306;1.90310362522159;3.81258103400212
4209;2.4194770754664;3.41673052318878
55092;2.15460405850123;2.96818466552312
6866;0.909266076102465;2.95496810690181
2395;1.57126888658753;2.94353300255743
79735;2.01545044317705;2.84971769050117
473;1.75537248824946;2.7718871242426
116534;1.2987104118197;2.72089543163835
221692;1.02513210079096;2.68939129057855
6472;0.848968091815215;2.6764166738515
56901;0.839502652339637;2.6764166738515
55193;2.13420136245002;2.55554010565622
3699;2.13135413160966;2.43911331255432
134359;2.17650701325758;2.41906681593258
11284;2.13829837074211;2.40400415321166
64943;2.03204684848804;2.3607046254544
3697;2.06851611899983;2.35949833796056
9880;0.901395262719582;2.35369863265535
29078;0.480168532216607;2.32335673727508
2275;1.85574179296218;2.24572633555099
84164;1.96432463129648;2.16858942300007
3633;1.78774705792352;2.15845042807888
114792;0.506742663348964;2.15583413451852
84833;0.971852540890829;2.10331876953276
26354;1.72017362666697;2.03862586459782
84335;1.71784644982433;2.01016918994083
27254;1.94541548969594;2.00806551247951
3700;1.78735858629798;1.99881837730094
728780;1.40348335840012;1.97551628106295
3626;0.533167162566561;1.96997873793454
22864;0.531742443656557;1.96997873793454
63976;0.859256859563982;1.9498845045536
259307;1.52317559363828;1.93254711643072
80741;1.92060893608295;1.92060893608295
57102;0.915378579314766;1.90274838264826
150365;1.83586137508849;1.89498332491667
25771;1.8662745851854;1.88167958791304
55830;1.65466850442796;1.88060220290415
83694;1.48555579717733;1.85583678860668
81857;1.50491383253727;1.85355906712017
53635;1.57323809589366;1.83872343191339
50;1.71410104866604;1.82350283587203
22809;1.53082329930919;1.8117427298754
8630;0.409300704855985;1.80581384310666
7917;1.78005040500649;1.78005040500649
51256;0.673617121854027;1.76661549437102
80199;1.55003977484963;1.76494978283529
1373;1.2954118768272;1.75566274681157
11247;0.789363146932161;1.73179902425685
246329;0.683846884323084;1.73179902425685
4640;0.837051276803285;1.72604566394725
64968;1.33702987217844;1.72296055937986
25898;1.48240942331498;1.71067184667025
7918;1.70708872475306;1.70708872475306
51085;1.45369335455921;1.69802749231096
4665;0.842734881914613;1.67022881537029
1743;1.20664230395595;1.64987128526645
5939;0.684213551586754;1.63764784372572
1893;1.63079752413112;1.63079752413112
22954;0.875341047606202;1.61815796857299
59338;1.28029642527941;1.61380865389089
7916;1.60408399968939;1.60408399968939
375346;1.31193415850017;1.60194979182598
5905;1.45380125206504;1.59228858043028
164118;0.715965534999864;1.58359361142869
4155;1.55910361413763;1.55910361413763
79694;0.372638781698319;1.54913215701545
81491;0.328645517756415;1.54913215701545
23166;1.24878590297599;1.54301136921124
57103;0.584839395330844;1.52219870611861
9031;1.20576291869784;1.51026483691119
25938;1.50496422459381;1.50496422459381
199;1.49356851342316;1.49356851342316
374887;1.42183917854594;1.48161385206963
4520;0.845808957994504;1.4504944918147
50651;0.799806371031353;1.44688863587586
11318;0.743136756929271;1.42025309611366
27030;1.16205665028875;1.41748766267134
5557;0.359321297877197;1.41692647439197
57412;0.969236311792769;1.41448080576903
84276;1.08877795333569;1.40182681487116
6526;1.09572423068663;1.39779796416537
80740;1.3905637883595;1.3905637883595
50862;1.20076234801245;1.38555830397276
79054;0.687373801091462;1.37085330843484
51533;1.11049994797833;1.36431115553854
128240;0.971560764343662;1.33965891495667
79783;1.053632491173;1.33718868745841
10635;0.494496400740469;1.33192386785378
132158;1.14937959019069;1.31726594327859
5069;0.61566581093405;1.31674245754001
4666;0.404916126133151;1.31331915862302
8608;0.687053477042306;1.29906685639911
9902;1.08663861324934;1.2950565650054
8508;1.12965538060989;1.27579231263977
146712;1.17503244882291;1.26917743086728
339766;0.414633869094637;1.26841780377284
127687;0.97896087754533;1.26214141428627
8202;1.19153938934026;1.2420567094824
10946;1.01511504860374;1.24166910137433
152815;1.09439460007891;1.23756181872875
140625;0.554658996302431;1.23742670481286
9275;0.892610051520269;1.22987785774966
440957;0.991455743217208;1.22485575454036
7008;1.10330530936004;1.18481131737247
118980;0.711328238170166;1.1795196315082
8892;0.878403664353815;1.17925444205431
79693;0.834611606915413;1.16936974606359
9118;0.36712316125009;1.15660668303828
128239;0.821175610067291;1.15445843616276
54658;0.383283117251948;1.14703577178824
284207;0.785004401886306;1.14600952140813
54865;0.815593330993073;1.14354665242747
51118;0.898594745367643;1.11765266583686
25895;0.46219991283349;1.10895756237769
64318;1.06877116704962;1.10719438507041
797;0.754805042092;1.10629369062282
8563;0.887468246241077;1.10359966185315
79630;1.1025260638552;1.1025260638552
11176;0.137103342097163;1.10205392452708
8897;0.97106937244406;1.09868132909468
9170;1.06373050754778;1.09566315298871
171568;0.918268324486921;1.09312781310744
5727;1.09150148182364;1.09150148182364
10314;0.710773443477394;1.08263768809126
60484;0.824554987939984;1.07627920228468
7940;1.06867402253554;1.06867402253554
112770;0.514571134085556;1.06795154551425
54838;0.520354065778687;1.0601046835229
54507;1.05868167140315;1.05868167140315
145282;1.0467807094248;1.0467807094248
389125;0.863209892860389;1.04343868217581
10766;0.877671124364386;1.04241656271578
28972;0.952425375047854;1.03499466971889
386746;0.478212431971266;1.02601759927927
54460;1.0255310332077;1.0255310332077
160;0.830897305256785;1.02486716860653
23636;0.9260983978407;1.02446041956628
7203;0.527842427805876;1.02069250663365
114879;0.599866248969262;1.01648223249411
6904;0.621944816197382;1.01411271715787
10102;1.00030212444776;1.00030212444776
8859;1.00000420582643;1.00000420582643
80737;0.991420478737792;0.991420478737792
58496;0.991420478737792;0.991420478737792
8495;0.987037564959133;0.987037564959133
51196;0.48625270071097;0.985591849230907
1315;0.373002282425447;0.981891425206254
275;0.920064719796953;0.98105008740576
29796;0.867910384601675;0.980785979777425
387755;0.68091940000333;0.975195613597237
112487;0.964858868919387;0.964858868919387
3127;0.959231502155396;0.959231502155396
81875;0.444981097643644;0.956899224969055
10100;0.509049043328297;0.954754890760958
10972;0.707610760113836;0.950550550261963
8621;0.736116258047547;0.939951109513404
114049;0.460730765238049;0.937447136773511
253714;0.326502712648153;0.929342694910034
5239;0.463438348520117;0.927571762384278
132160;0.8224307223549;0.920894681893737
3304;0.920604730256521;0.920604730256521
23564;0.920604730256521;0.920604730256521
55204;0.918593490641729;0.918593490641729
51291;0.866250917440767;0.915266088405722
10291;0.682370504889633;0.908304397330891
4809;0.785383396591107;0.905799744821531
9324;0.766571092719326;0.897920786781455
84283;0.402451339143558;0.897912117015483
57127;0.487257534826304;0.893105943304451
283459;0.891971028776335;0.891971028776335
3305;0.885196856015885;0.885196856015885
27237;0.421993020046921;0.883876217723475
6787;0.83800044587037;0.875764720531374
114132;0.540974556750355;0.872762161331544
51514;0.710032900344211;0.867053458853947
5372;0.842477052541343;0.866963437981768
84108;0.37365974653509;0.865815210743215
2251;0.523348164106472;0.85623677219172
8074;0.481652865290916;0.85623677219172
3107;0.85193491354741;0.85193491354741
23383;0.816657629449647;0.850990234653917
10894;0.461073263310868;0.847378206278819
5140;0.17469382919358;0.847260514098008
64218;0.247865928341476;0.829312661639847
51063;0.406564676127716;0.827668171472856
9870;0.331749763191221;0.821149052798188
23264;0.548062876525958;0.817506587375589
57419;0.764882735997454;0.813789473749587
